Title,Price,LinkToImage
Idyllische Ansicht vom Dyrehaven bei Kopenhagen am frÃ¼hen Morgen,1360.0,http://artinfo-images-350.s3.amazonaws.com/asi2-111913/6178.jpg
"SkovsÃ¸, Fra Bondedammen ved HellebÃ¦k, Septembermorgen",6802.0,http://artinfo-images-350.s3.amazonaws.com/asi2-102784/117.jpg
Marine scene with sidewheeler,460.0,http://artinfo-images-350.s3.amazonaws.com/asi2-105233/1665.jpg
Tyskerbryggen i Bergen,2595.0,http://artinfo-images-350.s3.amazonaws.com/asi2-89831/89.jpg
View of Frederiksvaerk,1334.0,http://artinfo-images-350.s3.amazonaws.com/17373/2269.jpg
"Chairs, model no. 310, and a Sunflower table, model no. 310",12249.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115508/142.jpg
"Extendable 'H Leg' dining table and eight dining chairs, model no. 615",17035.0,http://artinfo-images-350.s3.amazonaws.com/asi2-110995/216.jpg
Door handles,9375.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115627/308.jpg
Paimio chair,1375.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115627/309.jpg
Tea Trolly,1125.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115627/310.jpg
"Stackable bowls, model nos. 9769 A-B-C-D",15312.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115508/111.jpg
Unique screen,44915.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115508/112.jpg
"Dining chairs, model no. 69",10208.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115508/116.jpg
"Two-tier frame table, model nos. 75/83 and 915",13270.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115508/117.jpg
"Kultakello (Golden Bell) ceiling lights, model no. A330",13270.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115508/118.jpg
"Standard lamp, model no. A 810",32666.0,http://artinfo-images-350.s3.amazonaws.com/asi2-115508/122.jpg
Farm,302.0,http://artinfo-images-350.s3.amazonaws.com/asi2-114055/177.jpg
Still-life with Fruit,986.0,http://artinfo-images-350.s3.amazonaws.com/asi2-106283/112.jpg
Still life with bottles,2474.0,http://artinfo-images-350.s3.amazonaws.com/asi2-104660/173.jpg
"Still life with a jug, pot and apples",2753.0,http://artinfo-images-350.s3.amazonaws.com/asi2-104241/127.jpg
Lilies in a vase,727.0,http://artinfo-images-350.s3.amazonaws.com/0610172/158.jpg
Still life of flowers,728.0,http://artinfo-images-350.s3.amazonaws.com/0610171/443.jpg
Light in the window,1679.0,http://artinfo-images-350.s3.amazonaws.com/16524/248.jpg
Flowers in vase,1079.0,http://artinfo-images-350.s3.amazonaws.com/16524/261.jpg
Flowers,410.0,http://artinfo-images-350.s3.amazonaws.com/22625/133.jpg
Ãiti ja lapsi,659.0,http://artinfo-images-350.s3.amazonaws.com/asi2-110165/338.jpg
Sittande kvinna,525.0,http://artinfo-images-350.s3.amazonaws.com/asi2-105578/93.jpg
[Untitled],486.0,http://artinfo-images-350.s3.amazonaws.com/asi2-114054/402.jpg
Through the fire,419.0,http://artinfo-images-350.s3.amazonaws.com/asi2-114054/409.jpg
Sibelius,405.0,http://artinfo-images-350.s3.amazonaws.com/asi2-114054/410.jpg
TyttÃ¶,2060.0,http://artinfo-images-350.s3.amazonaws.com/asi2-110165/344.jpg
"Summer's night, by the lake",1571.0,http://artinfo-images-350.s3.amazonaws.com/asi2-107995/94.jpg
Cloudy Day,1827.0,http://artinfo-images-350.s3.amazonaws.com/asi2-108741/380.jpg
Mountain,1832.0,http://artinfo-images-350.s3.amazonaws.com/asi2-106281/209.jpg
Stockholm,1444.0,http://artinfo-images-350.s3.amazonaws.com/asi2-100201/369.jpg
Nostalgia,3364.0,http://artinfo-images-350.s3.amazonaws.com/0781020/508.jpg
Marvel,1895.0,http://artinfo-images-350.s3.amazonaws.com/12893/503.jpg
Portrait of Herman Wildenvey,616.0,http://artinfo-images-350.s3.amazonaws.com/25760/231.JPG
Landscape near Stavern,837.0,http://artinfo-images-350.s3.amazonaws.com/18519/193.jpg
House with figures,551.0,http://artinfo-images-350.s3.amazonaws.com/17390/607.JPG
Cheval attelÃ©,707.0,http://artinfo-images-350.s3.amazonaws.com/asi2-107984/675.jpg
"Still life with jug, glassware, fruit and fish",1298.0,http://artinfo-images-350.s3.amazonaws.com/asi2-107549/89.jpg
Still life with globe and violin (vanitas),3375.0,http://artinfo-images-350.s3.amazonaws.com/asi2-107549/90.jpg
